192.168.65.1 - - [14/Feb/2024:17:30:44 +0000] "GET /jobapp/api HTTP/1.1" 404 5 "-" "PostmanRuntime/7.36.3"
192.168.65.1 - - [14/Feb/2024:17:31:58 +0000] "GET /jobapp/api/ HTTP/1.1" 200 55 "-" "PostmanRuntime/7.36.3"
192.168.65.1 - - [14/Feb/2024:17:52:36 +0000] "POST /jobapp/api/user HTTP/1.1" 201 120 "-" "PostmanRuntime/7.36.3"
192.168.65.1 - - [14/Feb/2024:18:00:52 +0000] "POST /jobapp/api/login HTTP/1.1" 200 101 "-" "PostmanRuntime/7.36.3"
192.168.65.1 - - [14/Feb/2024:18:01:24 +0000] "GET /jobapp/api/user HTTP/1.1" 200 130 "-" "PostmanRuntime/7.36.3"
192.168.65.1 - - [14/Feb/2024:18:01:48 +0000] "GET /jobapp/api/user/applications HTTP/1.1" 200 29 "-" "PostmanRuntime/7.36.3"
192.168.65.1 - - [14/Feb/2024:18:02:11 +0000] "GET /jobapp/api/token HTTP/1.1" 200 105 "-" "PostmanRuntime/7.36.3"
192.168.65.1 - - [14/Feb/2024:18:02:32 +0000] "POST /jobapp/api/logout HTTP/1.1" 200 81 "-" "PostmanRuntime/7.36.3"
192.168.65.1 - - [14/Feb/2024:18:02:42 +0000] "GET /jobapp/api/token HTTP/1.1" 200 106 "-" "PostmanRuntime/7.36.3"
192.168.65.1 - - [14/Feb/2024:18:02:53 +0000] "GET /jobapp/api/user HTTP/1.1" 403 112 "-" "PostmanRuntime/7.36.3"
192.168.65.1 - - [14/Feb/2024:18:28:10 +0000] "GET /jobapp/api/listing HTTP/1.1" 403 112 "-" "PostmanRuntime/7.36.3"
192.168.65.1 - - [14/Feb/2024:18:28:25 +0000] "POST /jobapp/api/login HTTP/1.1" 200 100 "-" "PostmanRuntime/7.36.3"
192.168.65.1 - - [14/Feb/2024:18:28:31 +0000] "GET /jobapp/api/listing HTTP/1.1" 200 15687 "-" "PostmanRuntime/7.36.3"
192.168.65.1 - - [14/Feb/2024:18:28:49 +0000] "GET /jobapp/api/listing/1 HTTP/1.1" 200 5036 "-" "PostmanRuntime/7.36.3"
192.168.65.1 - - [14/Feb/2024:18:34:10 +0000] "POST /jobapp/api/application HTTP/1.1" 201 120 "-" "PostmanRuntime/7.36.3"
192.168.65.1 - - [14/Feb/2024:18:34:32 +0000] "GET /jobapp/api/application/1 HTTP/1.1" 200 137 "-" "PostmanRuntime/7.36.3"
